start	end	direction	name	gene_id	type	colour
1201339	1201713	+	GLO1, gloA	Rhizo1005_gene_1138	gene	#000000B3
1201782	1202327	+	hypothetical protein	Rhizo1005_gene_1139	gene	#000000B3
1202411	1203982	+	mpdB	Rhizo1005_gene_1140	gene	#000000B3
1204094	1204477	+	CYC	Rhizo1005_gene_1141	gene	#000000B3
1204908	1205303	+	coxC, ctaE	Rhizo1005_gene_1142	gene	#000000B3
1205246	1206037	-	thiD	Rhizo1005_gene_1143	gene	#000000B3
1206034	1206639	-	thiE	Rhizo1005_gene_1144	gene	#000000B3
1206636	1207409	-	thiG	Rhizo1005_gene_1145	gene	#000000B3
1207412	1207609	-	thiS	Rhizo1005_gene_1146	gene	#000000B3
1207606	1208649	-	thiO	Rhizo1005_gene_1147	gene	#000000B3
1208652	1210487	-	thiC	Rhizo1005_gene_1148	gene	#000000B3
1210886	1212691	-	atzF	Rhizo1005_gene_1149	gene	#000000B3
1212951	1214927	-	E4.6.1.1	Rhizo1005_gene_1150	gene	#000000B3
1214927	1218652	-	SKI3, TTC37	Rhizo1005_gene_1151	gene	#000000B3
1219154	1219243	+	hypothetical protein	Rhizo1005_gene_1152	gene	#000000B3
1219271	1220974	+	kdpA	Rhizo1005_gene_1153	gene	#000000B3
1220983	1221147	+	hypothetical protein	Rhizo1005_gene_1154	gene	#000000B3
1221195	1223252	+	kdpB	Rhizo1005_gene_1155	gene	#000000B3
1223265	1223834	+	kdpC	Rhizo1005_gene_1156	gene	#000000B3
1224037	1226745	+	kdpD	Rhizo1005_gene_1157	gene	#000000B3
1226742	1227434	+	kdpE	Rhizo1005_gene_1158	gene	#000000B3
1227439	1227720	-	hypothetical protein	Rhizo1005_gene_1159	gene	#000000B3
1227769	1228917	-	aspB	Rhizo1005_gene_1160	gene	#000000B3
1228914	1229552	-	dauR	Rhizo1005_gene_1161	gene	#000000B3
1229606	1230343	-	cysZ	Rhizo1005_gene_1162	gene	#000000B3
1230531	1231901	+	gatA, QRSL1	Rhizo1005_gene_1163	gene	#000000B3
1231898	1232809	+	NAGK, nagK	Rhizo1005_gene_1164	gene	#000000B3
1232806	1233534	+	cutC	Rhizo1005_gene_1165	gene	#000000B3
1233536	1234696	-	nagA, AMDHD2	Rhizo1005_gene_1166	gene	#000000B3
1234693	1235715	-	glmS, GFPT	Rhizo1005_gene_1167	gene	#000000B3
1235744	1236508	-	K03710	Rhizo1005_gene_1168	gene	#000000B3
1236505	1237389	-	gspK	Rhizo1005_gene_1169	gene	#000000B3
1237587	1238486	+	murQ	Rhizo1005_gene_1170	gene	#000000B3
1238541	1239800	+	msmE	Rhizo1005_gene_1171	gene	#000000B3
1240146	1241096	+	msmF	Rhizo1005_gene_1172	gene	#000000B3
1241110	1241949	+	msmG	Rhizo1005_gene_1173	gene	#000000B3
1241949	1243004	+	mviM	Rhizo1005_gene_1174	gene	#000000B3
1243068	1244069	+	malK, mtlK, thuK	Rhizo1005_gene_1175	gene	#000000B3
1244317	1245573	+	acrA, mexA, adeI, smeD, mtrC, cmeA	Rhizo1005_gene_1176	gene	#000000B3
1245585	1248725	+	acrB, mexB, adeJ, smeE, mtrD, cmeB	Rhizo1005_gene_1177	gene	#000000B3
1248774	1249409	+	nalD	Rhizo1005_gene_1178	gene	#000000B3
1249412	1250266	-	purU	Rhizo1005_gene_1179	gene	#000000B3
1250492	1251475	-	vldW	Rhizo1005_gene_1180	gene	#000000B3
1251704	1254775	-	polA	Rhizo1005_gene_1181	gene	#000000B3
1255156	1255587	+	slyA	Rhizo1005_gene_1182	gene	#000000B3
1255676	1257064	+	K01436	Rhizo1005_gene_1183	gene	#000000B3
1257166	1258131	+	K07027	Rhizo1005_gene_1184	gene	#000000B3
1258136	1258621	-	hypothetical protein	Rhizo1005_gene_1185	gene	#000000B3
1258835	1259044	-	cspA	Rhizo1005_gene_1186	gene	#000000B3
1259452	1259604	+	hypothetical protein	Rhizo1005_gene_1187	gene	#000000B3
1259681	1261474	-	fliC	Rhizo1005_gene_1188	gene	#32C864B3
1261837	1263129	+	prtC	Rhizo1005_gene_1189	gene	#000000B3
1263343	1265574	+	mrcA	Rhizo1005_gene_1190	gene	#000000B3
1265891	1267813	+	dnaK, HSPA9	Rhizo1005_gene_1191	gene	#000000B3
1267968	1269071	+	hypothetical protein	Rhizo1005_gene_1192	gene	#000000B3
1269230	1270360	+	dnaJ	Rhizo1005_gene_1193	gene	#000000B3
1270505	1271224	+	GST, gst	Rhizo1005_gene_1194	gene	#000000B3
1271247	1272860	-	sgcE4, ncsE4, kedE4	Rhizo1005_gene_1195	gene	#000000B3
1272864	1274189	-	PXDN, VPO1	Rhizo1005_gene_1196	gene	#000000B3
1274340	1275881	-	emrB	Rhizo1005_gene_1197	gene	#000000B3
1275889	1277091	-	emrA	Rhizo1005_gene_1198	gene	#000000B3
1277084	1277545	-	slyA	Rhizo1005_gene_1199	gene	#000000B3
1277748	1278872	+	recF	Rhizo1005_gene_1200	gene	#000000B3
1278882	1279661	+	moeB	Rhizo1005_gene_1201	gene	#000000B3
1279639	1280109	+	pat	Rhizo1005_gene_1202	gene	#000000B3
1280114	1281118	-	gyaR, GOR1	Rhizo1005_gene_1203	gene	#000000B3
1281315	1281854	+	aspS	Rhizo1005_gene_1204	gene	#000000B3
1281876	1282868	-	E2.7.1.4, scrK	Rhizo1005_gene_1205	gene	#000000B3
1282986	1283630	+	nemR	Rhizo1005_gene_1206	gene	#000000B3
1283698	1284909	+	ynfM	Rhizo1005_gene_1207	gene	#000000B3
1284915	1285340	-	hypothetical protein	Rhizo1005_gene_1208	gene	#000000B3
1285426	1286001	+	nalD	Rhizo1005_gene_1209	gene	#000000B3
1286008	1286658	-	NTH	Rhizo1005_gene_1210	gene	#000000B3
