start	end	direction	name	type	colour
1974833	1975909	-	flhB	gene	#000000B3
1976114	1977145	-	fliG	gene	#000000B3
1977174	1977797	-	fliNY, fliN	gene	#000000B3
1977858	1978805	-	fliM	gene	#000000B3
1978810	1979688	-	motA	gene	#000000B3
1979852	1980652	+	hypothetical protein	gene	#000000B3
1980654	1981379	+	flgF	gene	#000000B3
1981461	1982867	+	fliI	gene	#000000B3
1982870	1983397	+	hypothetical protein	gene	#000000B3
1983644	1984024	+	flgB	gene	#000000B3
1984030	1984449	+	flgC	gene	#000000B3
1984449	1984784	+	fliE	gene	#000000B3
1984797	1985585	+	flgG	gene	#000000B3
1985603	1986124	+	flgA	gene	#000000B3
1986121	1987236	+	flgI	gene	#000000B3
1987233	1987778	+	hypothetical protein	gene	#000000B3
1987775	1988488	+	flgH	gene	#000000B3
1988540	1989091	+	fliL	gene	#000000B3
1989099	1989836	+	fliP	gene	#000000B3
1990158	1991123	+	fliC	gene	#000000B3
1991395	1992360	+	fliC	gene	#32C864B3
1992690	1993673	+	fliC	gene	#000000B3
1994145	1994822	+	hypothetical protein	gene	#000000B3
1994819	1996003	+	motB	gene	#000000B3
1996009	1997328	+	motC	gene	#000000B3
1997325	1999544	+	motD	gene	#000000B3
1999504	2000046	+	hypothetical protein	gene	#000000B3
2000327	2000998	+	ftcR	gene	#000000B3
2001111	2002319	+	flgE	gene	#000000B3
2002345	2003757	+	flgK	gene	#000000B3
2003760	2004806	+	flgL	gene	#000000B3
2004844	2005191	+	flaF	gene	#000000B3
2005188	2005637	+	flbT	gene	#000000B3
2005628	2006047	+	flgD	gene	#000000B3
2006054	2006320	+	fliQ	gene	#000000B3
2006449	2008572	+	flhA	gene	#000000B3
2008569	2009321	+	fliR	gene	#000000B3
2009329	2009742	+	hypothetical protein	gene	#000000B3
2009861	2010424	+	hypothetical protein	gene	#000000B3
2010530	2010898	+	hypothetical protein	gene	#000000B3
2010898	2011458	+	hypothetical protein	gene	#000000B3
